[2025-11-08 14:36:03] INFO  com.nagarro.driven.utils.TestReportLogger - Navigating to URL: https://www.espncricinfo.com/
[2025-11-08 14:36:13] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/live-cricket-score — verifying via browser navigation fallback...
[2025-11-08 14:36:29] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/ci/engine/series/index.html?view=season — verifying via browser navigation fallback...
[2025-11-08 14:36:41] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/live-cricket-score — verifying via browser navigation fallback...
[2025-11-08 14:36:51] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/live-cricket-match-schedule-fixtures — verifying via browser navigation fallback...
[2025-11-08 14:37:00] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/cricket-fixtures — verifying via browser navigation fallback...
[2025-11-08 14:37:09] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/series/ranji-trophy-2025-26-1492381 — verifying via browser navigation fallback...
[2025-11-08 14:37:19] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/cricket-features — verifying via browser navigation fallback...
[2025-11-08 14:37:28] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/espncricinfo-writers-index — verifying via browser navigation fallback...
[2025-11-08 14:37:35] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/cricket-videos/ — verifying via browser navigation fallback...
[2025-11-08 14:37:43] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/cricket-videos/genre/beyond-boundaries-288 — verifying via browser navigation fallback...
[2025-11-08 14:37:52] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/team — verifying via browser navigation fallback...
[2025-11-08 14:38:00] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/team/india-6 — verifying via browser navigation fallback...
[2025-11-08 14:38:09] WARN  com.nagarro.driven.utils.TestReportLogger - ⚠️ 403 received for https://www.espncricinfo.com/live-cricket-score — verifying via browser navigation fallback...
